Year,Month,Variable,101,102
1949,2,precip,23.111815,23.111815
1949,3,precip,38.93198,38.93198
1949,4,precip,26.533348,26.533348
1949,5,precip,110.76454,110.76454
1949,6,precip,108.17801,108.17801
1949,7,precip,189.02107,189.02107
1949,8,precip,76.57638,76.57638
1949,9,precip,44.47864,44.47864
1949,10,precip,126.89572,126.89572
1949,11,precip,39.848251,39.848251
1949,12,precip,34.091457,34.091457
1950,1,precip,57.8312,57.8312
1950,2,precip,17.3896465,17.3896465
1950,3,precip,62.334595,62.334595
1950,4,precip,95.173134,95.173134
1950,5,precip,133.51799,133.51799
1950,6,precip,101.79551,101.79551
1950,7,precip,103.88209,103.88209
1950,8,precip,58.865852,58.865852
1950,9,precip,66.937057,66.937057
1950,10,precip,72.95323,72.95323
1950,11,precip,38.05093,38.05093
1950,12,precip,33.978615,33.978615
1951,1,precip,21.077508,21.077508
1951,2,precip,50.821278,50.821278
1951,3,precip,50.686356,50.686356
1951,4,precip,55.941196,55.941196
1951,5,precip,68.688465,68.688465
1951,6,precip,112.14528,112.14528
1951,7,precip,83.966324,83.966324
1951,8,precip,156.0193,156.0193
1951,9,precip,131.10178,131.10178
1951,10,precip,91.77762,91.77762
1951,11,precip,34.312958,34.312958
1951,12,precip,41.068493,41.068493
1952,1,precip,27.530075,27.530075
1952,2,precip,12.7851496,12.7851496
1952,3,precip,41.395233,41.395233
1952,4,precip,37.46438,37.46438
1952,5,precip,27.257397,27.257397
1952,6,precip,135.55518,135.55518
1952,7,precip,181.72911,181.72911
1952,8,precip,126.67565,126.67565
1952,9,precip,26.573824,26.573824
1952,10,precip,17.303933,17.303933
1952,11,precip,35.24428,35.24428
1952,12,precip,15.032728,15.032728
1953,1,precip,36.757404,36.757404
1953,2,precip,21.871578,21.871578
1953,3,precip,41.817766,41.817766
1953,4,precip,57.42674,57.42674
1953,5,precip,140.79659,140.79659
1953,6,precip,134.570526,134.570526
1953,7,precip,170.0288,170.0288
1953,8,precip,159.7025,159.7025
1953,9,precip,91.210236,91.210236
1953,10,precip,25.426833,25.426833
1953,11,precip,49.701298,49.701298
1953,12,precip,37.150991,37.150991
1954,1,precip,43.660873,43.660873
1954,2,precip,32.099482,32.099482
1954,3,precip,46.32331,46.32331
1954,4,precip,84.1987,84.1987
1954,5,precip,107.89825,107.89825
1954,6,precip,79.1636,79.1636
1954,7,precip,78.29587,78.29587
1954,8,precip,57.858265,57.858265
1954,9,precip,101.92554,101.92554
1954,10,precip,43.11258,43.11258
1954,11,precip,33.377544,33.377544
1954,12,precip,13.7165399,13.7165399
1955,1,precip,28.591278,28.591278
1955,2,precip,44.31416,44.31416
1955,3,precip,41.087576,41.087576
1955,4,precip,35.912968,35.912968
1955,5,precip,102.36106,102.36106
1955,6,precip,93.63353,93.63353
1955,7,precip,239.68242,239.68242
1955,8,precip,70.29047,70.29047
1955,9,precip,114.350975,114.350975
1955,10,precip,52.55184,52.55184
1955,11,precip,54.067093,54.067093
1955,12,precip,32.399792,32.399792
1956,1,precip,31.631721,31.631721
1956,2,precip,18.034649,18.034649
1956,3,precip,28.80013,28.80013
1956,4,precip,56.740147,56.740147
1956,5,precip,65.40156,65.40156
1956,6,precip,35.876932,35.876932
1956,7,precip,69.130836,69.130836
1956,8,precip,129.65099,129.65099
1956,9,precip,57.987003,57.987003
1956,10,precip,58.388695,58.388695
1956,11,precip,41.347948,41.347948
1956,12,precip,38.189701,38.189701
1957,1,precip,16.58034,16.58034
1957,2,precip,34.444658,34.444658
1957,3,precip,39.601244,39.601244
1957,4,precip,75.86355,75.86355
1957,5,precip,74.578156,74.578156
1957,6,precip,155.97522,155.97522
1957,7,precip,157.68674,157.68674
1957,8,precip,56.712357,56.712357
1957,9,precip,94.67235,94.67235
1957,10,precip,43.879257,43.879257
1957,11,precip,47.48906,47.48906
1957,12,precip,18.083199,18.083199
1958,1,precip,27.649012,27.649012
1958,2,precip,13.904662,13.904662
1958,3,precip,22.86315,22.86315
1958,4,precip,27.540474,27.540474
1958,5,precip,58.34643,58.34643
1958,6,precip,123.119125,123.119125
1958,7,precip,158.80072,158.80072
1958,8,precip,104.28317,104.28317
1958,9,precip,104.94674,104.94674
1958,10,precip,33.33149,33.33149
1958,11,precip,64.08211,64.08211
1958,12,precip,30.4338,30.4338
1959,1,precip,18.639292,18.639292
1959,2,precip,16.5295258,16.5295258
